nome;caracteristicas;ano;data_registro
gmc sierra 1500 crew cab slt;good|8 cylinders|gas|other|pickup|white;2014;2021-05-04
chevrolet silverado 1500;good|8 cylinders|gas|other|pickup|blue;2010;2021-05-04
chevrolet silverado 1500 crew;good|8 cylinders|gas|other|pickup|red;2020;2021-05-04
toyota tundra double cab sr;good|8 cylinders|gas|other|pickup|red;2017;2021-05-04
ford f-150 xlt;excellent|6 cylinders|gas|automatic|rwd|truck|black;2013;2021-05-03
gmc sierra 2500 hd extended cab;good|8 cylinders|gas|other|4wd|pickup|black;2012;2021-05-03
chevrolet silverado 1500 double;good|6 cylinders|gas|other|4wd|pickup|silver;2016;2021-05-03
toyota tacoma;excellent|6 cylinders|gas|automatic|4wd|truck|grey;2019;2021-05-03
chevrolet colorado extended cab;good|6 cylinders|gas|other|4wd|pickup|red;2016;2021-05-03
chevrolet corvette grand sport;good|8 cylinders|gas|other|rwd|other|red;2011;2021-05-03
jeep cherokee;excellent|6 cylinders|gas|automatic|4wd;1992;2021-05-03
jeep wrangler unlimited sport;good|6 cylinders|gas|other|4wd|other|silver;2017;2021-05-02
chevrolet silverado 1500 regular;good|6 cylinders|gas|other|pickup|white;2017;2021-05-02
chevrolet colorado crew cab z71;good|other|other|4wd|pickup|blue;2016;2021-05-02
toyota tacoma access cab pickup;good|other|other|pickup|red;2014;2021-05-02
chevrolet camaro ss coupe 2d;good|8 cylinders|gas|other|rwd|coupe|red;2016;2021-05-01
toyota tundra crewmax sr5 pickup;good|other|other|pickup|red;2014;2021-05-01
ford ranger supercrew xl pickup;good|other|other|pickup|black;2019;2021-05-01
nissan frontier crew cab pro-4x;good|6 cylinders|gas|other|4wd|pickup|silver;2018;2021-05-01
jeep compass;excellent|gas|automatic|SUV;2011;2021-04-30
ford f150 super cab xl pickup 4d;good|6 cylinders|gas|other|pickup|white;2018;2021-04-30
toyota tacoma double cab sr5;good|other|other|pickup|red;2016;2021-04-30
jeep wrangler sport suv 2d;good|gas|other|4wd|SUV|silver;2020;2021-04-30
ford f150 supercrew cab xlt;good|6 cylinders|gas|other|pickup;2020;2021-04-30
ram 1500 regular cab tradesman;good|8 cylinders|gas|other|pickup|white;2017;2021-04-29
mazda mx-5 miata club;good|gas|other|rwd|other;2020;2021-04-29
ford ranger supercab xl pickup;good|gas|other|pickup|white;2020;2021-04-29
cadillac xt4 sport suv 4d;good|other|other|fwd|hatchback|black;2019;2021-04-29
ford f250 super duty;good|8 cylinders|diesel|automatic|4wd|pickup|blue;2004;2021-04-29
jeep renegade sport suv 4d;good|gas|other|4wd|other|red;2016;2021-04-28
ford f150 regular cab xl pickup;good|6 cylinders|gas|other|pickup|black;2016;2021-04-28
gmc sierra 1500 regular cab;good|6 cylinders|other|other|pickup|white;2015;2021-04-28
honda odyssey;excellent|6 cylinders|gas|automatic|fwd|mini-van|silver;2012;2021-04-27
ram 1500 quad cab express pickup;good|6 cylinders|other|other|pickup|white;2018;2021-04-27
gmc sierra 1500 extended cab slt;good|8 cylinders|other|other|pickup;2013;2021-04-27
ram 1500 classic regular cab;good|8 cylinders|gas|other|pickup|white;2019;2021-04-27
ford mustang gt premium;good|8 cylinders|gas|other|rwd|other|black;2018;2021-04-27
chevrolet colorado extended cab;good|gas|other|pickup;2017;2021-04-26
ford f450;good|8 cylinders|diesel|manual|rwd|truck|white;2001;2021-04-26
chevrolet silverado 1500 ld;good|other|other|pickup|black;2019;2021-04-26
toyota tundra double cab pickup;good|8 cylinders|gas|other|4wd|pickup;2013;2021-04-26
chevrolet silverado 1500 double;good|8 cylinders|gas|other|4wd|pickup|brown;2014;2021-04-26
chevrolet silverado 1500 regular;good|6 cylinders|gas|other|pickup|white;2016;2021-04-25
